route,num_operators,total_flights_season,avg_weekly_frequency,hhi,top_operator,top_operator_share_pct,market_structure
BENGALURU-COIMBATORE,1,2540.0,84.7,10000.0,IndiGo,100.0,Monopoly
BENGALURU-BIDAR,1,411.3,13.7,10000.0,Ghodawat Enterprises (Fly91),100.0,Monopoly
LEH-MUMBAI,1,370.0,12.3,10000.0,IndiGo,100.0,Monopoly
KURNOOL-VISAKHAPATNAM,1,177.4,5.9,10000.0,IndiGo,100.0,Monopoly
KURNOOL-VIJAYAWADA,1,177.4,5.9,10000.0,IndiGo,100.0,Monopoly
KOZHIKODE-NAVI MUMBAI,1,209.0,7.0,10000.0,IndiGo,100.0,Monopoly
KOLKATA-VISAKHAPATNAM,1,418.0,13.9,10000.0,IndiGo,100.0,Monopoly
KOLKATA-VARANASI,1,835.0,27.8,10000.0,IndiGo,100.0,Monopoly
KOLKATA-SURAT,1,418.0,13.9,10000.0,IndiGo,100.0,Monopoly
KOLKATA-SRINAGAR,1,0.1,0.0,10000.0,Air India Express,100.0,Monopoly
KOLKATA-SILCHAR,1,831.6,27.7,10000.0,IndiGo,100.0,Monopoly
KOLKATA-SHILLONG,1,655.0,21.8,10000.0,IndiGo,100.0,Monopoly
KOLKATA-RUPSI,1,238.9,8.0,10000.0,Alliance Air,100.0,Monopoly
KOLKATA-RANCHI,1,1668.9,55.6,10000.0,IndiGo,100.0,Monopoly
KOLKATA-RAIPUR,1,1253.1,41.8,10000.0,IndiGo,100.0,Monopoly
BENGALURU-KURNOOL,1,177.4,5.9,10000.0,IndiGo,100.0,Monopoly
BENGALURU-KOLHAPUR,1,417.0,13.9,10000.0,IndiGo,100.0,Monopoly
BENGALURU-KANPUR,1,234.4,7.8,10000.0,IndiGo,100.0,Monopoly
BENGALURU-JHARSUGUDA,1,416.0,13.9,10000.0,IndiGo,100.0,Monopoly
BENGALURU-JAMMU,1,234.6,7.8,10000.0,IndiGo,100.0,Monopoly
BENGALURU-JABALPUR,1,417.0,13.9,10000.0,IndiGo,100.0,Monopoly
BENGALURU-RAJKOT,1,417.0,13.9,10000.0,IndiGo,100.0,Monopoly
BENGALURU-RAJAHMUNDRY,1,410.1,13.7,10000.0,IndiGo,100.0,Monopoly
BENGALURU-RAIPUR,1,833.3,27.8,10000.0,IndiGo,100.0,Monopoly
BENGALURU-PRAYAGRAJ,1,237.7,7.9,10000.0,IndiGo,100.0,Monopoly
BENGALURU-PONDICHERRY,1,411.6,13.7,10000.0,IndiGo,100.0,Monopoly
BENGALURU-NASIK,1,411.9,13.7,10000.0,IndiGo,100.0,Monopoly
BENGALURU-NANDED,1,414.7,13.8,10000.0,Ghodawat Enterprises (Fly91),100.0,Monopoly
KOLKATA-PATNA,1,1253.0,41.8,10000.0,IndiGo,100.0,Monopoly
KOLKATA-NAGPUR,1,476.0,15.9,10000.0,IndiGo,100.0,Monopoly
KOLKATA-MOPA,1,418.0,13.9,10000.0,IndiGo,100.0,Monopoly
KOLKATA-LUCKNOW,1,831.6,27.7,10000.0,IndiGo,100.0,Monopoly
KOLKATA-LILABARI,1,238.9,8.0,10000.0,Alliance Air,100.0,Monopoly
KOLHAPUR-NAVI MUMBAI,1,836.0,27.9,10000.0,IndiGo,100.0,Monopoly
KOLHAPUR-MUMBAI,1,418.0,13.9,10000.0,Ghodawat Enterprises (Fly91),100.0,Monopoly
KOCHI-THIRUVANANTHAPURAM,1,416.1,13.9,10000.0,IndiGo,100.0,Monopoly
KOCHI-SALEM,1,418.0,13.9,10000.0,Alliance Air,100.0,Monopoly
KISHANGARH-PUNE,1,149.3,5.0,10000.0,Ghodawat Enterprises (Fly91),100.0,Monopoly
BENGALURU-VIDYANAGAR,1,418.0,13.9,10000.0,Ghodawat Enterprises (Fly91),100.0,Monopoly
BENGALURU-VADODARA,1,418.0,13.9,10000.0,IndiGo,100.0,Monopoly
BENGALURU-UDAIPUR,1,417.0,13.9,10000.0,IndiGo,100.0,Monopoly
BENGALURU-TUTICORIN,1,415.4,13.8,10000.0,IndiGo,100.0,Monopoly
BENGALURU-TIRUPATI,1,417.0,13.9,10000.0,IndiGo,100.0,Monopoly
BENGALURU-SINDHUDURG,1,418.0,13.9,10000.0,JustUdo Aviation (IndiaOne Air),100.0,Monopoly
BENGALURU-SHIVAMOGGA,1,64.0,2.1,10000.0,IndiGo,100.0,Monopoly
BENGALURU-SHIRDI,1,417.0,13.9,10000.0,IndiGo,100.0,Monopoly
KISHANGARH-NAVI MUMBAI,1,59.7,2.0,10000.0,Ghodawat Enterprises (Fly91),100.0,Monopoly
KISHANGARH-NAGPUR,1,298.6,10.0,10000.0,Ghodawat Enterprises (Fly91),100.0,Monopoly
KISHANGARH-LUCKNOW,1,298.6,10.0,10000.0,Ghodawat Enterprises (Fly91),100.0,Monopoly
KANPUR-MUMBAI,1,418.0,13.9,10000.0,IndiGo,100.0,Monopoly
KANNUR-THIRUVANANTHAPURAM,1,234.0,7.8,10000.0,Air India Express,100.0,Monopoly
KANNUR-NAVI MUMBAI,1,178.3,5.9,10000.0,IndiGo,100.0,Monopoly
KANNUR-MUMBAI,1,238.3,7.9,10000.0,IndiGo,100.0,Monopoly
KANNUR-KOCHI,1,418.0,13.9,10000.0,IndiGo,100.0,Monopoly
KANDLA-MUMBAI,1,297.1,9.9,10000.0,SpiceJet,100.0,Monopoly
JORHAT-KOLKATA,1,418.0,13.9,10000.0,IndiGo,100.0,Monopoly
JODHPUR-PUNE,1,303.7,10.1,10000.0,IndiGo,100.0,Monopoly
JHARSUGUDA-NAVI MUMBAI,1,418.0,13.9,10000.0,IndiGo,100.0,Monopoly
