route,num_operators,total_flights_season,avg_weekly_frequency,hhi,top_operator,top_operator_share_pct,market_structure
AGATTI ISLAND-KOCHI,3,1158.6,38.6,3378.6,Alliance Air,36.08,Highly Concentrated
DARBHANGA-DELHI,3,1192.6,39.8,3351.0,IndiGo,35.05,Highly Concentrated
MUMBAI-SRINAGAR,3,1117.0,37.2,3338.7,IndiGo,34.48,Highly Concentrated
AYODHYA-DELHI,3,1253.1,41.8,3334.0,Air India Express,33.36,Highly Concentrated
DELHI-GUWAHATI,4,6233.4,207.8,3299.7,Air India Express,43.01,Highly Concentrated
BAGDOGRA-DELHI,4,4746.4,158.2,3243.7,Air India Express,42.76,Highly Concentrated
GUWAHATI-IMPHAL,4,1852.9,61.8,3151.3,Air India Express,45.12,Highly Concentrated
AHMEDABAD-BENGALURU,4,4701.9,156.7,3136.7,IndiGo,44.17,Highly Concentrated
DELHI-GORAKHPUR,4,1820.0,60.7,3114.6,IndiGo,44.32,Highly Concentrated
DELHI-PATNA,4,6685.3,222.8,3048.3,IndiGo,43.77,Highly Concentrated
DELHI-MOPA,4,3817.4,127.2,2865.8,IndiGo,35.89,Highly Concentrated
JAIPUR-MUMBAI,4,3328.4,110.9,2814.9,Air India,37.65,Highly Concentrated
MUMBAI-PATNA,4,2501.1,83.4,2780.2,Air India,33.42,Highly Concentrated
DELHI-PUNE,5,9916.3,330.5,2746.0,IndiGo,36.68,Highly Concentrated
BAGDOGRA-MUMBAI,4,1935.6,64.5,2692.8,Akasa Air,36.98,Highly Concentrated
DELHI-SRINAGAR,5,7262.7,242.1,2639.5,IndiGo,37.1,Highly Concentrated
MOPA-MUMBAI,4,2952.3,98.4,2578.0,IndiGo,28.32,Highly Concentrated
MUMBAI-VARANASI,5,2925.1,97.5,2244.5,IndiGo,28.58,Moderately Concentrated
