route,operator,flights_in_season,route_total,share_pct
BAGDOGRA-BENGALURU,Akasa Air,560.5714285714286,1742.4285714285716,32.17
BAGDOGRA-BENGALURU,IndiGo,418.0,1742.4285714285716,23.99
BAGDOGRA-CHENNAI,IndiGo,358.2857142857143,358.2857142857143,100.0
BAGDOGRA-DELHI,Air India Express,2029.4285714285716,4746.428571428571,42.76
BAGDOGRA-DELHI,IndiGo,1552.5714285714284,4746.428571428571,32.71
BAGDOGRA-DELHI,SpiceJet,806.1428571428571,4746.428571428571,16.98
BAGDOGRA-DELHI,Akasa Air,358.2857142857143,4746.428571428571,7.55
BAGDOGRA-DIBRUGARH,Air India Express,375.2857142857143,703.7142857142858,53.33
BAGDOGRA-DIBRUGARH,Akasa Air,328.42857142857144,703.7142857142858,46.67
BAGDOGRA-GUWAHATI,SpiceJet,209.0,296.8571428571429,70.4
BAGDOGRA-GUWAHATI,Akasa Air,87.85714285714286,296.8571428571429,29.6
BAGDOGRA-HYDERABAD,IndiGo,776.2857142857142,1403.2857142857142,55.32
BAGDOGRA-HYDERABAD,Air India Express,627.0,1403.2857142857142,44.68
BAGDOGRA-IMPHAL,Air India Express,623.0,623.0,100.0
BAGDOGRA-KOLKATA,IndiGo,1611.428571428571,3222.285714285714,50.01
BAGDOGRA-KOLKATA,SpiceJet,806.1428571428571,3222.285714285714,25.02
BAGDOGRA-KOLKATA,Air India Express,804.7142857142857,3222.285714285714,24.97
BAGDOGRA-MUMBAI,Akasa Air,715.7142857142857,1935.5714285714284,36.98
BAGDOGRA-MUMBAI,IndiGo,418.0,1935.5714285714284,21.6
BAGDOGRA-MUMBAI,Air India Express,413.71428571428567,1935.5714285714284,21.37
BAGDOGRA-MUMBAI,SpiceJet,388.1428571428571,1935.5714285714284,20.05
BAGDOGRA-NAVI MUMBAI,IndiGo,418.0,418.0,100.0
BAREILLY-BENGALURU,IndiGo,176.14285714285717,176.14285714285717,100.0
BAREILLY-NAVI MUMBAI,IndiGo,237.7142857142857,237.7142857142857,100.0
BELGAUM-BENGALURU,IndiGo,833.1428571428571,833.1428571428571,100.0
BELGAUM-DELHI,IndiGo,418.0,418.0,100.0
BELGAUM-HYDERABAD,IndiGo,418.0,418.0,100.0
BELGAUM-NAVI MUMBAI,IndiGo,418.0,418.0,100.0
BENGALURU-BHOPAL,IndiGo,833.2857142857142,833.2857142857142,100.0
BENGALURU-BHUBANESWAR,IndiGo,1649.7142857142858,3319.0,49.71
